date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:29:22	14/14	---M--	200	added ('OK')	text/plain	etag:%22e-5c01b2e3a6ac3%22	https://preview.colorlib.com/robots.txt		(from )
10:29:23	19518/19518	---MCZ	200	added ('OK')	text/html	date:Sat,%2006%20Feb%202021%2012:05:26%20GMT	https://preview.colorlib.com/theme/logistic/	C:/My%20Web%20Sites/banana_export/preview.colorlib.com/theme/logistic/index.html	(from )
10:29:23	323/323	---M--	200	added ('OK')	image/png	etag:%22143-5baaa32d7df7c%22	https://preview.colorlib.com/theme/logistic/assets/img/icon/favicon.png	C:/My%20Web%20Sites/banana_export/preview.colorlib.com/theme/logistic/assets/img/icon/favicon.png	(from https://preview.colorlib.com/theme/logistic/)
10:29:24	24684/24684	---M-Z	200	added ('OK')	text/css	etag:%22606c-5c1f9d58d0eeb-gzip%22	https://preview.colorlib.com/theme/logistic/assets/css/bootstrap.min.css	C:/My%20Web%20Sites/banana_export/preview.colorlib.com/theme/logistic/assets/css/bootstrap.min.css	(from https://preview.colorlib.com/theme/logistic/)
10:29:25	183/183	---M-Z	200	added ('OK')	text/css	etag:%22b7-5c1f9d58d0eeb-gzip%22	https://preview.colorlib.com/theme/logistic/assets/css/owl.carousel.min.css	C:/My%20Web%20Sites/banana_export/preview.colorlib.com/theme/logistic/assets/css/owl.carousel.min.css	(from https://preview.colorlib.com/theme/logistic/)
10:29:26	2506/2506	---M-Z	200	added ('OK')	text/css	etag:%229ca-5c220b784b6b6-gzip%22	https://preview.colorlib.com/theme/logistic/assets/css/slicknav.css	C:/My%20Web%20Sites/banana_export/preview.colorlib.com/theme/logistic/assets/css/slicknav.css	(from https://preview.colorlib.com/theme/logistic/)
10:29:26	34524/34524	---M-Z	200	added ('OK')	text/css	etag:%2286dc-5c1f9d58d0eeb-gzip%22	https://preview.colorlib.com/theme/logistic/assets/css/animate.min.css	C:/My%20Web%20Sites/banana_export/preview.colorlib.com/theme/logistic/assets/css/animate.min.css	(from https://preview.colorlib.com/theme/logistic/)
10:29:26	4213/4213	---M-Z	200	added ('OK')	text/css	etag:%221075-5c1f9d58d0eeb-gzip%22	https://preview.colorlib.com/theme/logistic/assets/css/magnific-popup.css	C:/My%20Web%20Sites/banana_export/preview.colorlib.com/theme/logistic/assets/css/magnific-popup.css	(from https://preview.colorlib.com/theme/logistic/)
10:29:27	2602/2602	---M-Z	200	added ('OK')	text/css	etag:%22a2a-5c1f9d58d0eeb-gzip%22	https://preview.colorlib.com/theme/logistic/assets/css/fontawesome-all.min.css	C:/My%20Web%20Sites/banana_export/preview.colorlib.com/theme/logistic/assets/css/fontawesome-all.min.css	(from https://preview.colorlib.com/theme/logistic/)
10:29:27	1028/1028	---M-Z	200	added ('OK')	text/css	etag:%22404-5c1f9d58d1e8b-gzip%22	https://preview.colorlib.com/theme/logistic/assets/css/themify-icons.css	C:/My%20Web%20Sites/banana_export/preview.colorlib.com/theme/logistic/assets/css/themify-icons.css	(from https://preview.colorlib.com/theme/logistic/)
10:29:28	1776/1776	---M-Z	200	added ('OK')	text/css	etag:%226f0-5c1f9d58d0eeb-gzip%22	https://preview.colorlib.com/theme/logistic/assets/css/slick.css	C:/My%20Web%20Sites/banana_export/preview.colorlib.com/theme/logistic/assets/css/slick.css	(from https://preview.colorlib.com/theme/logistic/)
10:29:29	4007/4007	---M-Z	200	added ('OK')	text/css	etag:%22fa7-5c1f9d58d0eeb-gzip%22	https://preview.colorlib.com/theme/logistic/assets/css/nice-select.css	C:/My%20Web%20Sites/banana_export/preview.colorlib.com/theme/logistic/assets/css/nice-select.css	(from https://preview.colorlib.com/theme/logistic/)
10:29:29	73574/73574	---M-Z	200	added ('OK')	text/css	etag:%2211f66-5c1f9d58d1e8b-gzip%22	https://preview.colorlib.com/theme/logistic/assets/css/style.css	C:/My%20Web%20Sites/banana_export/preview.colorlib.com/theme/logistic/assets/css/style.css	(from https://preview.colorlib.com/theme/logistic/)
10:29:29	24/24	---M--	400	error ('Bad%20Request')	text/plain	date:Wed,%2003%20Jul%202024%2004:59:29%20GMT	https://preview.colorlib.com/cdn-cgi/zaraz/s.js?z=	C:/My%20Web%20Sites/banana_export/preview.colorlib.com/cdn-cgi/zaraz/sd0d9.js	(from https://preview.colorlib.com/theme/logistic/)
10:29:30	19518/19518	---MCZ	200	added ('OK')	text/html	date:Sat,%2006%20Feb%202021%2012:05:26%20GMT	https://preview.colorlib.com/theme/logistic/index.html	C:/My%20Web%20Sites/banana_export/preview.colorlib.com/theme/logistic/index-2.html	(from https://preview.colorlib.com/theme/logistic/)
10:29:31	2377/2377	---M--	200	added ('OK')	image/png	etag:%22949-5baaa3243fc84%22	https://preview.colorlib.com/theme/logistic/assets/img/logo/logo.png	C:/My%20Web%20Sites/banana_export/preview.colorlib.com/theme/logistic/assets/img/logo/logo.png	(from https://preview.colorlib.com/theme/logistic/)
10:29:32	1673/1673	---M--	200	added ('OK')	image/png	etag:%22689-5baaa3243dd45%22	https://preview.colorlib.com/theme/logistic/assets/img/logo/logo2.png	C:/My%20Web%20Sites/banana_export/preview.colorlib.com/theme/logistic/assets/img/logo/logo2.png	(from https://preview.colorlib.com/theme/logistic/)
10:29:32	16068/16068	---MCZ	200	added ('OK')	text/html	date:Sat,%2006%20Feb%202021%2012:05:33%20GMT	https://preview.colorlib.com/theme/logistic/services.html	C:/My%20Web%20Sites/banana_export/preview.colorlib.com/theme/logistic/services.html	(from https://preview.colorlib.com/theme/logistic/)
10:29:32	13254/13254	---MCZ	200	added ('OK')	text/html	date:Sat,%2006%20Feb%202021%2012:05:27%20GMT	https://preview.colorlib.com/theme/logistic/about.html	C:/My%20Web%20Sites/banana_export/preview.colorlib.com/theme/logistic/about.html	(from https://preview.colorlib.com/theme/logistic/)
10:29:33	16137/16137	---MCZ	200	added ('OK')	text/html	date:Sat,%2006%20Feb%202021%2012:05:26%20GMT	https://preview.colorlib.com/theme/logistic/blog.html	C:/My%20Web%20Sites/banana_export/preview.colorlib.com/theme/logistic/blog.html	(from https://preview.colorlib.com/theme/logistic/)
10:29:33	18722/18722	---MCZ	200	added ('OK')	text/html	date:Sat,%2006%20Feb%202021%2012:05:29%20GMT	https://preview.colorlib.com/theme/logistic/blog_details.html	C:/My%20Web%20Sites/banana_export/preview.colorlib.com/theme/logistic/blog_details.html	(from https://preview.colorlib.com/theme/logistic/)
10:29:34	31552/31552	---MCZ	200	added ('OK')	text/html	date:Sat,%2006%20Feb%202021%2012:05:30%20GMT	https://preview.colorlib.com/theme/logistic/elements.html	C:/My%20Web%20Sites/banana_export/preview.colorlib.com/theme/logistic/elements.html	(from https://preview.colorlib.com/theme/logistic/)
10:29:34	41730/41730	---MCZ	200	added ('OK')	text/html	date:Sat,%2006%20Feb%202021%2012:05:28%20GMT	https://preview.colorlib.com/theme/logistic/contact.html	C:/My%20Web%20Sites/banana_export/preview.colorlib.com/theme/logistic/contact.html	(from https://preview.colorlib.com/theme/logistic/)
10:29:34	380/380	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2217c-5baaa32eb676e%22	https://preview.colorlib.com/theme/logistic/assets/img/icon/Subtraction.svg	C:/My%20Web%20Sites/banana_export/preview.colorlib.com/theme/logistic/assets/img/icon/Subtraction.svg	(from https://preview.colorlib.com/theme/logistic/)
10:29:35	38277/38277	---M--	200	added ('OK')	image/jpeg	etag:%229585-5baaa2f751f41%22	https://preview.colorlib.com/theme/logistic/assets/img/gallery/services1.jpg	C:/My%20Web%20Sites/banana_export/preview.colorlib.com/theme/logistic/assets/img/gallery/services1.jpg	(from https://preview.colorlib.com/theme/logistic/)
10:29:35	44483/44483	---M--	200	added ('OK')	image/jpeg	etag:%22adc3-5baaa2f5d41f2%22	https://preview.colorlib.com/theme/logistic/assets/img/gallery/services2.jpg	C:/My%20Web%20Sites/banana_export/preview.colorlib.com/theme/logistic/assets/img/gallery/services2.jpg	(from https://preview.colorlib.com/theme/logistic/)
10:29:36	51544/51544	---M--	200	added ('OK')	image/jpeg	etag:%22c958-5baaa2f661b8c%22	https://preview.colorlib.com/theme/logistic/assets/img/gallery/services3.jpg	C:/My%20Web%20Sites/banana_export/preview.colorlib.com/theme/logistic/assets/img/gallery/services3.jpg	(from https://preview.colorlib.com/theme/logistic/)
10:29:37	2783/2783	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22adf-5baaa32d946db%22	https://preview.colorlib.com/theme/logistic/assets/img/icon/notification1.svg	C:/My%20Web%20Sites/banana_export/preview.colorlib.com/theme/logistic/assets/img/icon/notification1.svg	(from https://preview.colorlib.com/theme/logistic/)
10:29:37	20160/20160	---M--	200	added ('OK')	image/png	etag:%224ec0-5baaa2f8c6051%22	https://preview.colorlib.com/theme/logistic/assets/img/gallery/truck.png	C:/My%20Web%20Sites/banana_export/preview.colorlib.com/theme/logistic/assets/img/gallery/truck.png	(from https://preview.colorlib.com/theme/logistic/)
10:29:37	3260/3260	---M--	200	added ('OK')	image/png	etag:%22cbc-5baaa2f7b39bd%22	https://preview.colorlib.com/theme/logistic/assets/img/gallery/testimonial.png	C:/My%20Web%20Sites/banana_export/preview.colorlib.com/theme/logistic/assets/img/gallery/testimonial.png	(from https://preview.colorlib.com/theme/logistic/)
10:29:38	1533/1533	---M--	200	added ('OK')	image/png	etag:%225fd-5baaa32600051%22	https://preview.colorlib.com/theme/logistic/assets/img/logo/logo2_footer.png	C:/My%20Web%20Sites/banana_export/preview.colorlib.com/theme/logistic/assets/img/logo/logo2_footer.png	(from https://preview.colorlib.com/theme/logistic/)
10:29:38	1239/1239	---MCZ	200	added ('OK')	application/javascript	etag:W/%22667c5334-4d7%22	https://preview.colorlib.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	C:/My%20Web%20Sites/banana_export/preview.colorlib.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	(from https://preview.colorlib.com/theme/logistic/)
10:29:39	8636/8636	---M-Z	200	added ('OK')	application/javascript	etag:%2221bc-5baaa2e1522da-gzip%22	https://preview.colorlib.com/theme/logistic/assets/js/vendor/modernizr-3.5.0.min.js	C:/My%20Web%20Sites/banana_export/preview.colorlib.com/theme/logistic/assets/js/vendor/modernizr-3.5.0.min.js	(from https://preview.colorlib.com/theme/logistic/)
10:29:40	97163/97163	---M-Z	200	added ('OK')	application/javascript	etag:%2217b8b-5baaa2e206d72-gzip%22	https://preview.colorlib.com/theme/logistic/assets/js/vendor/jquery-1.12.4.min.js	C:/My%20Web%20Sites/banana_export/preview.colorlib.com/theme/logistic/assets/js/vendor/jquery-1.12.4.min.js	(from https://preview.colorlib.com/theme/logistic/)
10:29:41	19188/19188	---M-Z	200	added ('OK')	application/javascript	etag:%224af4-5baa9fd3c34c5-gzip%22	https://preview.colorlib.com/theme/logistic/assets/js/popper.min.js	C:/My%20Web%20Sites/banana_export/preview.colorlib.com/theme/logistic/assets/js/popper.min.js	(from https://preview.colorlib.com/theme/logistic/)
